from	to	roles	
RosieO	SleeplessInSeattle	Becky##	
TomS	TopGun	Viper##	
JohnR	Hoffa	Peter (Pete) Connelly##	
ChristinaR	SpeedRacer	Trixie##	
Carrie	TheMatrix	Trinity##	
Carrie	TheMatrixRevolutions	Trinity##	
Carrie	TheMatrixReloaded	Trinity##	
IanM	TheDaVinciCode	Sir Leight Teabing##	
PatriciaC	TheGreenMile	Melinda Moores##	
JackN	AFewGoodMen	Col. Nathan R. Jessup##	
JackN	AsGoodAsItGets	Melvin Udall##	
JackN	OneFlewOvertheCuckoosNest	Randle McMurphy##	
JackN	Hoffa	Hoffa##	
JackN	SomethingsGottaGive	Harry Sanborn##	
HalleB	CloudAtlas	Luisa Rey#Meronym#Ovid#Jocasta Ayrs##	
DemiM	AFewGoodMen	Lt. Cdr. JoAnne Galloway##	
WilW	StandByMe	Gordie Lachance##	
MegR	TopGun	Carole##	
MegR	SleeplessInSeattle	Annie Reed##	
MegR	YouveGotMail	Kathleen Kelly##	
MegR	JoeVersustheVolcano	DeDe#Patricia Graynamore#Angelica Graynamore##	
MegR	WhenHarryMetSally	Sally Albright##	
EthanH	SnowFallingonCedars	Ishmael Chambers##	
OliverP	FrostNixon	Bob Zelnic##	
OliverP	BicentennialMan	Rupert Burns##	
ZachG	RescueDawn	Squad Leader##	
ZachG	Twister	Eddie##	
SteveZ	RescueDawn	Duane##	
SteveZ	YouveGotMail	George Pappas##	
RobertDeNiro	Joker	Murray Franklin##	
TomC	JerryMaguire	Jerry Maguire##	
TomC	TopGun	Maverick##	
TomC	AFewGoodMen	Lt. Daniel Kaffee##	
KevinP	AFewGoodMen	Lt. Sam Weinberg##	
Dina	JohnnyMnemonic	Jane##	
JoaquinPhoenix	Joker	Arthur Fleck##	
SamR	FrostNixon	James Reston, Jr.##	
SamR	TheGreenMile	Wild Bill Wharton##	
PaulB	TheDaVinciCode	Silas##	
JTW	AFewGoodMen	Lt. Col. Matthew Andrew Markinson##	
JTW	Hoffa	Frank Fitzsimmons##	
MatthewF	SpeedRacer	Racer X##	
RitaW	SleeplessInSeattle	Suzy##	
Brooke	TheReplacements	Annabelle Farrell##	
DianeK	SomethingsGottaGive	Erica Barry##	
RickY	NinjaAssassin	Takeshi##	
RickY	SnowFallingonCedars	Kazuo Miyamoto##	
BrunoK	WhenHarryMetSally	Jess##	
GeenaD	ALeagueofTheirOwn	Dottie Hinson##	
EmileH	SpeedRacer	Speed Racer##	
BillPull	SleeplessInSeattle	Walter##	
JayM	JerryMaguire	"[""Bob Sugar""]"##	
MichaelD	TheGreenMile	John Coffey##	
